Code,Political Party Description
3RD,3rd
A,ALL
ABO,ABOLITIONIST
AC,ANARCHIST
ACO,ANARCHO-COMMUNIST
ACP,ANARCHO CAPITALIST
ACR,ALL CROOKS
AD,ADARIAN
AE,AMERICAN EAGLE
AF,AMERICAN FIRST PARTY
AFP,AMERICAN FREEDOM PARTY
AG,ALMIGHTY GOD'S
AH,AMERICAN HERITAGE
AI,AMERICAN INDEPENDENT
AIP,AIP
AL,AMERICAN LABOR
AMA,AMERICA
ALL,ALLAH
AM,AMERICAN
AMD,AMERICAN DELTA
AME,AMERICA'S
AMF,AMERICA FIRST
AMI,AMERICAN INDIAN
AMRE,American Reform
AMRL,AMERICAL LIBERTY
AN,AMERICAN NAZI
ANA,ANARCHY
ANL,ANIMAL LIFE
ANO,ANONYMOUS
ANP,AIN'T NO PARTY LIKE A POLITICAL PARTY
ANY,ANY
AO,ANTI OBAMA
AP,AMERICAN PATRIOT
APP,AMERICA'S PARTY PENNSYLVANIA
APR,AMERICAN FIRST PROGRESSIVE
APTY,AMERICA's PARTY 
ARI,ARISTOCRAT
ARP,AMERICAN REVOLUTIONARY PARTY
ASF,AMERICA - SEMPER FI
ASI,ASIAN
ASM,ASSEMBLY
ASP,American Solidarity Party
AT,ATHEIST
ATP,AMERICAN TEA PARTY
AU,AMERICAN UNITY
AW,AWAKE
AZ,AQUAZIAN ZIONIST
AZPA,AQUARIAN ZIONIST PARTY OF AMERICA
AYE,Aseyev
B,BIRTHDAY
BA,BLUE ARMY
BH,BOTH
BL,BLISS
BLP,BLACK PANTHER
BM,BULL MOOSE
BMP,BOTH MAJOR PARTIES
BO,BARACK OBAMA
BP,BI-PARTISAN
BPAT,BEST PERSON AT THE TIME
BPFJ,BEST PERSON FOR THE JOB
BS,BERNIE SANDERS
BSRR,BEER/SEX/ROCK ROLL
BSTP,BEST PERSON
BTH,BOTH 1/2
BTM,BETWEEN MIDDLE
C,CONSERVATIVE
CA,CAPITALIST
CB,CAMPBELL PARTY
CC,CHRISTIAN CONSERVATIVE
CCO,CHRISTIAN COALITION
CCUS,CATHOLIC CENTER PARTY USA
CD,CHRISTIAN DEMOCRAT
CDU,CHRISTIAN DEMOCRATIC PARTY U.S.A.
CDUN,CHRISTIAN DEMOCRAT UNION
CE,CENTRALIST
